"Age","P.die"
"0-1",0.0068651
"1-2",0.0004689
"2-3",0.000337
"3-4",0.000254
"4-5",0.0001937
"5-6",0.0001775
"6-7",0.0001603
"7-8",0.0001469
"8-9",0.0001323
"9-10",0.0001174
"10-11",0.000109
"11-12",0.0001179
"12-13",0.0001567
"13-14",0.0002332
"14-15",0.0003394
"15-16",0.0004598
"16-17",0.000577
"17-18",0.0006842
"18-19",0.0007687
"19-20",0.000832
"20-21",0.0008943
"21-22",0.0009542
"22-23",0.0009898
"23-24",0.0009965
"24-25",0.0009822
"25-26",0.0009596
"26-27",0.0009424
"27-28",0.0009355
"28-29",0.0009468
"29-30",0.0009738
"30-31",0.0010075
"31-32",0.0010463
"32-33",0.0011086
"33-34",0.0011624
"34-35",0.0012437
"35-36",0.0013357
"36-37",0.001441
"37-38",0.0015673
"38-39",0.0017138
"39-40",0.0018736
"40-41",0.0020377
"41-42",0.0022066
"42-43",0.0023894
"43-44",0.002593
"44-45",0.0028186
"45-46",0.0030642
"46-47",0.0033218
"47-48",0.003589
"48-49",0.0038627
"49-50",0.0041478
"50-51",0.0044583
"51-52",0.0047999
"52-53",0.0051653
"53-54",0.0055539
"54-55",0.0059713
"55-56",0.0064232
"56-57",0.0069246
"57-58",0.0074956
"58-59",0.0081595
"59-60",0.0089267
"60-61",0.0098265
"61-62",0.0108307
"62-63",0.0118724
"63-64",0.0128914
"64-65",0.013908
"65-66",0.015003
"66-67",0.0161394
"67-68",0.0174789
"68-69",0.0190357
"69-70",0.0207972
"70-71",0.0227224
"71-72",0.0248911
"72-73",0.0274071
"73-74",0.0302937
"74-75",0.0335346
"75-76",0.0371456
"76-77",0.0410234
"77-78",0.0452871
"78-79",0.0499708
"79-80",0.0551109
"80-81",0.0607459
"81-82",0.0669164
"82-83",0.0736644
"83-84",0.0810338
"84-85",0.0890696
"85-86",0.0978174
"86-87",0.1073232
"87-88",0.1176322
"88-89",0.1287887
"89-90",0.1408344
"90-91",0.1538078
"91-92",0.1677429
"92-93",0.1826681
"93-94",0.1986043
"94-95",0.2155642
"95-96",0.2335503
"96-97",0.2525539
"97-98",0.272554
"98-99",0.2935159
"99-100",0.315391
"100 and over",1
