"","x"
"1",-2.46664016853667
"2",2.62338136577052
"3",-0.00808508246547739
"4",-2.29424841414196
"5",-2.54996367873551
"6",-0.126595445809969
"7",8.31277064518611
"8",0.0218419089118499
"9",10.4009894989311
"10",-9.40423212227143
"11",-0.0316259799822015
"12",12.6430440621022
"13",5.50451086135884
"14",71.5332304873559
"15",71.0172984816373
"16",-68.6117541088587
"17",50.6021370353509
"18",-5.50451325187299
"19",-71.5331215191871
"20",-71.0171855360421
"21",68.6116553667366
"22",-50.6020567514828
